obs,air_temperature,air_temperature_qc_executed,air_temperature_qc_results,barometric_pressure,barometric_pressure_qc_executed,barometric_pressure_qc_results,ct_depth,dcl_controller_timestamp,deployment,driver_timestamp,eastward_wind_velocity,eastward_wind_velocity_qc_executed,eastward_wind_velocity_qc_results,ingestion_timestamp,internal_timestamp,lat,lon,longwave_irradiance,longwave_irradiance_qc_executed,longwave_irradiance_qc_results,met_barpres,met_barpres_qc_executed,met_barpres_qc_results,met_current_direction,met_current_direction_qc_executed,met_current_direction_qc_results,met_current_speed,met_current_speed_qc_executed,met_current_speed_qc_results,met_heatflx_minute,met_latnflx_minute,met_netlirr_minute,met_netsirr,met_netsirr_qc_executed,met_netsirr_qc_results,met_relwind_direction,met_relwind_direction_qc_executed,met_relwind_direction_qc_results,met_relwind_speed,met_relwind_speed_qc_executed,met_relwind_speed_qc_results,met_salsurf,met_salsurf_qc_executed,met_salsurf_qc_results,met_sensflx_minute,met_spechum,met_spechum_qc_executed,met_spechum_qc_results,met_windavg_mag_corr_east,met_windavg_mag_corr_north,northward_wind_velocity,northward_wind_velocity_qc_executed,northward_wind_velocity_qc_results,port_timestamp,precipitation,precipitation_qc_executed,precipitation_qc_results,preferred_timestamp,relative_humidity,relative_humidity_qc_executed,relative_humidity_qc_results,sea_surface_conductivity,sea_surface_conductivity_qc_executed,sea_surface_conductivity_qc_results,sea_surface_temperature,sea_surface_temperature_qc_executed,sea_surface_temperature_qc_results,shortwave_irradiance,shortwave_irradiance_qc_executed,shortwave_irradiance_qc_results,time,velpt_ab_dcl_instrument-eastward_velocity,velpt_ab_dcl_instrument-northward_velocity
"('0',)",8.18200016022,29,29,1010.39001465,29,29,0.98,empty,7,3757021307.53,-4.26000022888,29,29,3757021307.75,0.0,44.38,-124.95,352.0,29,29,101039.0,29,29,324.58358097,29,29,0.287598391774,29,29,,,,38.6505012512,29,29,261.7485019,29,29,4.39812529311,29,29,32.6243127162,29,29,,5.67745304108,29,29,-4.5192617993,-0.396830645208,-1.55999994278,29,29,3757019496.14,39.1500015259,29,13,port_timestamp,84.2860031128,29,29,3.71259999275,29,29,11.5249996185,29,29,40.9000015259,29,29,3757019496.14,-0.16666750625,0.234381691502
"('1',)",8.19699954987,29,29,1011.28997803,29,29,0.98,empty,7,3757021307.53,-5.42000007629,29,29,3757021307.75,0.0,44.38,-124.95,352.200012207,29,29,101129.0,29,29,325.050074958,29,29,0.287780092088,29,29,,,,22.0184993744,29,29,267.439711784,29,29,5.45639156345,29,29,32.6254977846,29,29,,5.64339065552,29,29,-5.6158026252,-0.00786040511606,-1.47000002861,29,29,3757019559.87,39.1399993896,29,13,port_timestamp,83.7710037231,29,29,3.71199989319,29,29,11.5170001984,29,29,23.2999992371,29,29,3757019559.87,-0.164857790092,0.235879822045
"('2',)",8.30200004578,29,29,1010.94000244,29,29,0.98,empty,7,3757021307.53,-4.69999980927,29,29,3757021307.75,0.0,44.38,-124.95,352.799987793,29,29,101094.0,29,29,325.555753471,29,29,0.287998892805,29,29,,,,21.2625007629,29,29,257.651808207,29,29,5.04902904707,29,29,32.6249353368,29,29,,5.675593853,29,29,-5.09511838406,-0.842239460332,-2.1400001049,29,29,3757019629.05,39.1399993896,29,13,port_timestamp,83.6200027466,29,29,3.71050000191,29,29,11.5010004044,29,29,22.5,29,29,3757019629.05,-0.162893333493,0.237506050787
"('3',)",8.27999973297,29,29,1010.94000244,29,29,0.98,empty,7,3757021307.53,-6.94999980927,29,29,3757021307.75,0.0,44.38,-124.95,352.0,29,29,101094.0,29,29,326.039294596,29,29,0.288229440299,29,29,,,,20.5065002441,29,29,273.274508654,29,29,6.87812982635,29,29,32.622688455,29,29,,5.62670040131,29,29,-7.0279120407,0.63194126849,-1.22000002861,29,29,3757019695.3,39.1399993896,29,13,port_timestamp,83.0260009766,29,29,3.71000003815,29,29,11.498000145,29,29,21.7000007629,29,29,3757019695.3,-0.161011940904,0.23906351696
"('4',)",8.23499965668,29,29,1010.66998291,29,29,0.98,empty,7,3757042286.57,-6.57000017166,29,29,3757042286.59,0.0,44.38,-124.95,351.799987793,29,29,101067.0,29,29,326.278708166,29,29,0.28835133261,29,29,,,,19.7504997253,29,29,266.075319321,29,29,6.71982231023,29,29,32.6217249901,29,29,,5.58418989182,29,29,-6.86414284178,-0.220102937778,-2.0,29,29,3757019728.14,39.1399993896,29,13,port_timestamp,82.6309967041,29,29,3.70900011063,29,29,11.4879999161,29,29,20.8999996185,29,29,3757019728.14,-0.160079267031,0.239835608876
"('5',)",8.27200031281,29,29,1010.46002197,29,29,0.98,empty,7,3757042286.57,-6.15000009537,29,29,3757042286.59,0.0,44.38,-124.95,351.799987793,29,29,101046.0,29,29,326.807751525,29,29,0.288638935929,29,29,,,,18.9945011139,29,29,268.82390455,29,29,6.18213194244,29,29,32.6214332831,29,29,,5.57619380951,29,29,-6.3388449661,0.114654050183,-1.53999996185,29,29,3757019800.82,39.1500015259,29,13,port_timestamp,82.2890014648,29,29,3.70869994164,29,29,11.4849996567,29,29,20.1000003815,29,29,3757019800.82,-0.158015389211,0.241544141114
"('6',)",8.34000015259,29,29,1010.59997559,29,29,0.98,empty,7,3757042286.57,-6.28999996185,29,29,3757042286.59,0.0,44.38,-124.95,351.799987793,29,29,101060.0,29,29,327.274430937,29,29,0.288913579735,29,29,,,,18.0494995117,29,29,262.295031196,29,29,6.59086458038,29,29,32.6229093904,29,29,,5.61339044571,29,29,-6.6875507102,-0.64059700554,-2.3599998951,29,29,3757019865.05,39.1300010681,29,13,port_timestamp,82.466003418,29,29,3.70840001106,29,29,11.4799995422,29,29,19.1000003815,29,29,3757019865.05,-0.156191246883,0.243054214018
"('7',)",8.25699996948,29,29,1010.66998291,29,29,0.98,empty,7,3757042286.57,-4.82000017166,29,29,3757042286.6,0.0,44.38,-124.95,351.799987793,29,29,101067.0,29,29,327.766050758,29,29,0.289224240767,29,29,,,,17.6715011597,29,29,247.510789993,29,29,5.81395049076,29,29,32.6234026973,29,29,,5.52655887604,29,29,-5.52607448575,-1.97924273242,-3.34999990463,29,29,3757019932.86,39.1300010681,29,13,port_timestamp,81.658996582,29,29,3.70799994469,29,29,11.4750003815,29,29,18.7000007629,29,29,3757019932.86,-0.154265723882,0.244648212505
"('8',)",8.34799957275,29,29,1010.94000244,29,29,0.98,empty,7,3757042286.57,-5.09999990463,29,29,3757042286.6,0.0,44.38,-124.95,351.100006104,29,29,101094.0,29,29,328.010055947,29,29,0.289386596238,29,29,,,,17.3879985809,29,29,260.21285979,29,29,5.388199986,29,29,32.6251680411,29,29,,5.56612586975,29,29,-5.46308899271,-0.670490423961,-2.06999993324,29,29,3757019966.57,39.1399993896,29,13,port_timestamp,81.7570037842,29,29,3.70799994469,29,29,11.4729995728,29,29,18.3999996185,29,29,3757019966.57,-0.15330845738,0.245440662846
"('9',)",8.875,29,29,1012.39001465,29,29,0.98,empty,7,3757042286.57,-3.30999994278,29,29,3757042286.6,0.0,44.38,-124.95,330.0,29,29,101239.0,29,29,15.7436736873,29,29,0.503073926211,29,29,,,,26.1765003204,29,29,259.292016827,29,29,3.682881201,29,29,32.6247727691,29,29,,5.28333425522,29,29,-3.4822497365,-0.200091094933,-1.10000002384,29,29,3757030292.36,39.1399993896,29,13,port_timestamp,75.0029983521,29,29,3.73250007629,29,13,11.7449998856,29,29,27.7000007629,29,29,3757030292.36,0.136501150608,0.484201209329
