obs,time,deployment,air_temperature,barometric_pressure,dcl_controller_timestamp,driver_timestamp,eastward_wind_velocity,ingestion_timestamp,internal_timestamp,longwave_irradiance,northward_wind_velocity,port_timestamp,precipitation,preferred_timestamp,relative_humidity,sea_surface_conductivity,sea_surface_temperature,shortwave_irradiance,met_barpres,met_windavg_mag_corr_east,met_windavg_mag_corr_north,met_netsirr,met_salsurf,met_spechum,ct_depth,velpt_ab_dcl_instrument-eastward_velocity,velpt_ab_dcl_instrument-northward_velocity,met_current_direction,met_current_speed,met_relwind_direction,met_relwind_speed,met_heatflx_minute,met_latnflx_minute,met_netlirr_minute,met_sensflx_minute,barometric_pressure_qc_executed,barometric_pressure_qc_results,relative_humidity_qc_executed,relative_humidity_qc_results,air_temperature_qc_executed,air_temperature_qc_results,longwave_irradiance_qc_executed,longwave_irradiance_qc_results,precipitation_qc_executed,precipitation_qc_results,sea_surface_temperature_qc_executed,sea_surface_temperature_qc_results,sea_surface_conductivity_qc_executed,sea_surface_conductivity_qc_results,shortwave_irradiance_qc_executed,shortwave_irradiance_qc_results,eastward_wind_velocity_qc_executed,eastward_wind_velocity_qc_results,northward_wind_velocity_qc_executed,northward_wind_velocity_qc_results,met_barpres_qc_executed,met_barpres_qc_results,met_current_direction_qc_executed,met_current_direction_qc_results,met_current_speed_qc_executed,met_current_speed_qc_results,met_relwind_direction_qc_executed,met_relwind_direction_qc_results,met_relwind_speed_qc_executed,met_relwind_speed_qc_results,met_netsirr_qc_executed,met_netsirr_qc_results,met_salsurf_qc_executed,met_salsurf_qc_results,met_spechum_qc_executed,met_spechum_qc_results,lat,lon
"('0',)",3759438693.25,7,7.06799983978,1023.35998535,empty,3759440004.9,-1.53999996185,3759440005.23,0.0,253.800003052,-3.51999998093,3759438693.25,37.2200012207,port_timestamp,68.0459976196,3.66319990158,10.9619998932,150.699996948,102336.0,-2.40289866701,-2.99801229889,142.411499023,32.6366944872,4.19056415558,0.98,0.117035110508,0.103276351411,48.5735605913,0.156087225142,219.095380648,3.99600519714,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('1',)",3759438762.61,7,7.12799978256,1023.63000488,empty,3759440004.9,-1.55999994278,3759440005.23,0.0,253.100006104,-3.6400001049,3759438762.61,37.2000007629,port_timestamp,68.5889968872,3.6631000042,10.9619998932,188.800003052,102363.0,-2.45343526715,-3.10867431151,178.416000366,32.6357040611,4.24042272568,0.98,0.117161550038,0.103375305314,48.577030848,0.15624750416,218.670217074,4.11402852901,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('2',)",3759438827.19,7,7.13500022888,1023.35998535,empty,3759440004.9,-1.29999995232,3759440005.24,0.0,252.100006104,-4.84000015259,3759438827.19,37.1899986267,port_timestamp,68.3539962769,3.66269993782,10.9560003281,202.899993896,102336.0,-2.51464758353,-4.33499122072,191.740493774,32.6370770652,4.22900390625,0.98,0.117279266897,0.103467432694,48.5802553089,0.15639672654,210.667185109,5.16013121578,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('3',)",3759438892.33,7,7.09800004959,1023.35998535,empty,3759440004.9,0.439999997616,3759440005.24,0.0,251.5,-4.30999994278,3759438892.33,37.2000007629,port_timestamp,67.5540008545,3.66300010681,10.9610004425,168.600006104,102336.0,-0.69667553106,-4.27601949353,159.327011108,32.6356029415,4.16877317429,0.98,0.117398022822,0.103560373266,48.5835020026,0.15654726658,190.529927419,4.45459712666,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('4',)",3759438923.79,7,7.09800004959,1023.35998535,empty,3759440004.9,-0.310000002384,3759440005.24,0.0,252.800003052,-3.94000005722,3759438923.79,37.2200012207,port_timestamp,66.8359985352,3.66289997101,10.9589996338,172.800003052,102336.0,-1.32456017231,-3.72360588708,163.296005249,32.636389079,4.12435436249,0.98,0.11745536276,0.103605248556,48.5850673972,0.156619953293,200.64539155,4.08985988515,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('5',)",3759438991.07,7,7.19600009918,1023.63000488,empty,3759463118.37,-0.569999992847,3759463118.39,0.0,253.5,-3.71000003815,3759438991.07,37.1899986267,port_timestamp,67.7490005493,3.66230010986,10.9519996643,190.399993896,102363.0,-1.51575448624,-3.43387370361,179.927993774,32.6366749628,4.20796298981,0.98,0.117578016086,0.103701239306,48.5884109902,0.15677543462,204.783226153,3.89643574821,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('6',)",3759439053.49,7,7.25600004196,1023.48999023,empty,3759463118.37,0.070000000298,3759463118.39,0.0,251.899993896,-4.78000020981,3759439053.49,37.2099990845,port_timestamp,68.5690002441,3.6617000103,10.9460000992,170.800003052,102349.0,-1.1762296712,-4.63355001769,161.406005859,32.6360663997,4.27718782425,0.98,0.117691797262,0.103790286548,48.5915067995,0.156919669654,195.276725417,4.91086814369,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('7',)",3759439118.38,7,7.12799978256,1023.48999023,empty,3759463118.37,-1.09000003338,3759463118.39,0.0,251.0,-3.96000003815,3759439118.38,37.2000007629,port_timestamp,67.0189971924,3.66129994392,10.9420003891,174.800003052,102349.0,-2.08289442097,-3.53995073497,165.186004639,32.6356591932,4.14368152618,0.98,0.11781008105,0.103882857617,48.5947190903,0.157069612922,211.130006197,4.25683257313,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('8',)",3759439181.28,7,7.11999988556,1023.55999756,empty,3759463118.37,-0.959999978542,3759463118.39,0.0,250.399993896,-4.57000017166,3759439181.28,37.2000007629,port_timestamp,66.4619979858,3.66199994087,10.9499998093,172.600006104,102356.0,-2.11610268028,-4.16276482332,163.107009888,32.6354789271,4.10661888123,0.98,0.117924755457,0.103972603918,48.5978275095,0.157214981204,207.63617202,4.81621499278,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('9',)",3759449493.19,7,7.46700000763,1025.01000977,empty,3759463118.37,-0.540000021458,3759463118.39,0.0,256.0,-4.84999990463,3759449493.19,37.1500015259,port_timestamp,66.9789962769,3.64829993248,10.8009996414,2.09999990463,102501.0,-1.78343077717,-4.54240836574,1.98449993134,32.6321908371,4.23235464096,0.98,0.136341465494,0.11856337024,48.9895792542,0.180682782732,202.385900785,5.04085141492,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
